school_emis_code,school_name,school_latitude,school_longitude
35220082,GGHS SODIWAL QUARTERS MULTAN ROAD LHR.,31.53845258,74.28763845
35210704,GGPS HAVELI MORAN WALI,31.27297696,74.41855456
35220547,GGES CDG JUNIOR MODEL CHAH MIRAN SULTAN PURA,31.58366724,74.34164959
35220123,GGHS ARRAYIAN,31.33463455,74.23487026
35220009,GHS SHAD BAGH,31.6029382,74.34223046
35210707,GGPS JATHOL LAHORE CANTT.,31.43804081,74.40266607
35210635,"GGPS SEHJPAL BHATTA CHOWK, BAIDIAN ROAD",31.50737721,74.4355725
35210259,GPS MOHALLAH QURESHAN USMAN ABAD,31.5750566,74.36856497
35210180,GGHS JALLO STATION,31.57630885,74.49649343
35210815,GGHS CDG JUNIOR MODEL DARAS BARAY MIAN MUGHALPURA,31.57168992,74.37581222
35220567,GGES CDG JUNIOR MODEL ISLAM NAGAR SHAHDARA,31.5634398,74.4093294
35210953,GGHS TAJ PURA SCHEME LAHORE CANTT,31.5563834,74.4024306
35210527,GGPS MINHALA KHURD,31.52795776,74.54462685
35220134,GGES K.M. ANDROON LOHARI GATE LAHORE,31.58059796,74.31155051
35210738,GGPS AHLO JHUGIAN,31.3744396,74.4104485
35220046,GHS CHUNG MULTAN ROAD,31.43511415,74.17419065
35210888,GHS CDG GUNJ MUGHAL PURA,31.5648125,74.3818812
35220603,GES MC BADAMI BAGH NO. 1,31.5990643,74.31997466
35210911,GGES CDG JUNIOR MODEL SHAH KAMAL PARK,31.52404895,74.31062364
35220037,GHS PUBLIC MODEL NAIN SUKH SHAHDARA,31.60159584,74.24658028
35220240,GPS QILA NAWAN,31.3079924,74.05908868
35220212,GPS TIBBA PAJIAN,31.303101,74.2247953
35210882,GHS CDG PINDI RAJPUTAN KOT LAKHPAT,31.46348089,74.32723615
35220613,GHS CDG SANDA KALAN,31.5572916,74.2817382
35210106,GHS JAHMAN,31.36161973,74.52205321
35210138,GGHS  R.A. BAZAR,31.5026608,74.38377217
35220252,GPS AWAN TOWN LAHORE,31.50145506,74.25910662
35210465,GGPS PINDI RAJPUTAN,31.4633226,74.32477229
35220094,GGHS NEW MODEL DEV SAMAJ ROAD,31.5711715,74.30041197
35220272,GPS MUHALLAH JALOTION BHATI GATE LAHORE,31.58086794,74.31021326
35210083,GGHSS PRACTISING TOWNSHIP,31.44913493,74.3052319
35210810,GHS CDG HARBANS PURA,31.57434317,74.42706428
35220089,GGHS MODEL ELAHI PARK WASSAN PURA LHR,31.58821908,74.33573331
35210539,GGPS SANKAY,31.57077965,74.58580295
35210809,GGES CDG NEELAM BLOCK IQBAL TOWN,31.521843,74.2992543
35210350,GPS DHELUM,31.39050486,74.3776362
35210660,GGES WAHGA,31.59435899,74.55563078
35210207,GPS GAGA,31.4475365,74.4618875
35220560,GGHS CDG JUNIOR MODEL MULTAN ROAD LHR.,31.54093747,74.29282978
35210128,GES RAJA BOLA,31.3993844,74.4119093
35220233,GPS MANGA HITHAR,31.34044801,74.05579073
35210281,GPS MANAWAN,31.58960251,74.48130316
35210301,GPS TAQI PUR,31.57647922,74.52919275
35210106,GHS JAHMAN,31.36161973,74.52205321
35220033,GHS MPE SHAHDRA,31.62417581,74.29724168
