License No,Store Name,Store Address,Town Name,Location
141BNT102012,M/s Shabbir Medical Store,"Dullo Khurd, Ferozepur Road, Lahore",NISHTAR TOWN,"31.40851629972797,74.3634290746714"
35302,M/s Shahbaz Medical Store,"Barlab-e-Nahar (Nala) Sitara Colony No.2, Chungi Amar Sidhu, Lahore",NISHTAR TOWN,"31.449413,74.355368"
314305,M/s Shahid Medicose,"Ayub Road, Behind General Hospital, Opp: Jammu Medical Store, Lahore",NISHTAR TOWN,"31.457634377432313,74.35065401319268"
166603,M/s Shakir Pharmacy,"234-Hassan Block, Nishtar Colony, Lahore",NISHTAR TOWN,"31.4248094,74.368535"
93703,M/s Shami Pharmacy,"Near Haji General Store and Bhai Bhai Pan Shop, Main Bazar Dulu Khurd, Ferozepur Road",NISHTAR TOWN,"31.4089426242659,74.36329141822883"
33BNT1010,M/s Shammas Medical Store,"Khasra No.1362, Main Badian Road, Heir, Lahore Cantt",NISHTAR TOWN,"31.41175,74.488195"
28BNT1010,M/s Sher-e-Rabbani Medical Store,"Sua Gaju Matta Stop Mohallah Muhammad Pura Main Ferozepur Road, Lahore",NISHTAR TOWN,"31.383577749404044,74.36807657085926"
34BNT1010,M/s Shoaib Medical and Cosmetics Stores,"Khan Plaza, shop No.5 out side care hospital Bhatta Colony, Chandrai Road, Chungi Amer Sidhu, Lahore",NISHTAR TOWN,"31.43858350763138,74.3455253303449"
72603,M/s Sohail Ashraf Medical Store,"Sohail Ashraf Medical Store, 537-2-D-II Near Azmat Chowk, Green Town, Lahore",NISHTAR TOWN,"31.435443,74.301063"
72BNT102011,M/s Sultan Veterinary Medical Store,"Dar Plaza, Shop No.4 Chungi Amar Sidhu",NISHTAR TOWN,"31.448001723140173,74.35412187101295"
25BNT1010,M/s Tajammal Medical Store,"841-I-D-I Omer Chowk Township, Lahore",NISHTAR TOWN,"31.443487569908328,74.30764450118778"
92103,M/s Talib Medicose,"Opp, Iqra Book Centre, Kacha Road, Kahna Nau, Lahore",NISHTAR TOWN,"31.368373,74.36414"
179BNT102013,M/S Tanveer Medcial Store,"Main Bazar Bhobtian Raiwind Road, Lahore",NISHTAR TOWN,"31.401780025807017,74.23021256586621"
229604,M/s Tariq Medical and General Store,"C, Block, Christ Charch Road, Youhanabad, Ferozepur Road, Lahore",NISHTAR TOWN,"31.41141355667515,74.3658898222541"
53ANT910,M/s Umer Pharmacy,"Near Rana Estate Agency Abu Bakar Block, Main Shalimar Town Road, Kahna Nau, Lahore",NISHTAR TOWN,"31.376355,74.361267"
391706,M/s Usama Medical Store,"Near Bagrian Chowk, Green Town, Lahore",NISHTAR TOWN,"31.432556632073624,74.3002621685285"
163BNT102012,M/s Usman Bashir Medical Store,"House No.402, Block -6, Street C/11, Bagrian Chowk, Green Town, Lahore",NISHTAR TOWN,"31.431972132288795,74.29839228206235"
52BNT1010,M/s Usman Mecdical and General Store,"Shop. No.8, Abdullah Market Near Masjid, Walayat Kacha, Kamahan Road, Chungi Amer Sidhu, Lahore",NISHTAR TOWN,"31.4477454620622,74.3569211550031"
